Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.771,0.7447698744769874,0.7688984881209503,0.7566418703506907,0.8562568625794852
Tuned Logistic Regression,0.773,0.75,0.7645788336933045,0.7572192513368984,0.8572905229034191
Random Forest,0.771,0.7397540983606558,0.7796976241900648,0.7592008412197687,0.8395755155230039
XGBoost,0.772,0.7494692144373672,0.7624190064794817,0.7558886509635975,0.8437966303477844
Tuned Random Forest,0.759,0.7202380952380952,0.7840172786177105,0.750775594622544,0.839489041993959
Tuned XGBoost,0.76,0.728952772073922,0.7667386609071274,0.7473684210526316,0.845270702366157
